start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(3, 3):(0, 0)|(3, 3):0:0x1d7","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,6
"(3, 3):(0, 0)|(3, 3):0:0x1d9","(4, 4):(0, 0)|(4, 4):1:0x4a96",stable,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):0:0x1da","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,4
"(3, 3):(0, 0)|(3, 3):0:0x1db","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,7
"(3, 3):(0, 0)|(3, 3):0:0x1dc","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,4
"(3, 3):(0, 0)|(3, 3):0:0x1dd","(4, 4):(0, 0)|(4, 4):1:0x6952",stable,0,3,3,54,54,4
"(3, 3):(0, 0)|(3, 3):0:0x1de","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,54,10
"(3, 3):(0, 0)|(3, 3):0:0x1df","(35, 22):(0, 0)|(35, 22):12:0x300000b000c120028480000a00180000200000c00000000200001c0006f0101800a0001c80007800a040038e00000001f8e000a040000780001c80000a00f01019c00062000000000000c00002000018000000a00284800c120000b0000300",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):0:0x1e1","(3, 3):(0, 0)|(3, 3):1:0xb5",spaceship,4,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):0:0x1e2","(3, 3):(0, 0)|(3, 3):1:0xb5",spaceship,4,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):0:0x1e3","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,6
"(3, 3):(0, 0)|(3, 3):0:0x1e4","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,3,3,54,54,4
"(3, 3):(0, 0)|(3, 3):0:0x1e5","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,3,3,54,54,3
"(3, 3):(0, 0)|(3, 3):0:0x1e6","(24, 50):(0, 0)|(24, 50):43:0x180000000000090000000003024000000000c06000000300000002000060c00681c000203001b098000000000036000000000edc0000000e03334000030561f0480000c114b0000000025128048000008d4400c0000020e0000000000000003600000000000400000000000c10600000000304180000000080000000000010800000000004800000000000e00000000000",survival,0,3,3,54,54,99
