start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(4, 5):(0, 0)|(4, 5):4:0xe0a8","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(4, 5):(0, 0)|(4, 5):4:0xe0c2","(4, 4):(0, 0)|(4, 4):1:0x6952",stable,0,5,5,4,4,6
"(4, 5):(0, 0)|(4, 5):4:0xe0c4","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(4, 5):(0, 0)|(4, 5):4:0xe0c8","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(4, 5):(0, 0)|(4, 5):4:0xe103","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe105","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe106","(3, 3):(0, 0)|(3, 3):0:0x1aa",stable,0,5,5,3,3,3
"(4, 5):(0, 0)|(4, 5):4:0xe109","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(4, 5):(0, 0)|(4, 5):4:0xe10a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(4, 5):(0, 0)|(4, 5):4:0xe10c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(4, 5):(0, 0)|(4, 5):4:0xe111","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(4, 5):(0, 0)|(4, 5):4:0xe112","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(4, 5):(0, 0)|(4, 5):4:0xe114","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(4, 5):(0, 0)|(4, 5):4:0xe118","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(4, 5):(0, 0)|(4, 5):4:0xe122","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe124","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe128","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(4, 5):(0, 0)|(4, 5):4:0xe142","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe144","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe148","(54, 22):(0, 0)|(54, 22):16:0xc0000f00002400318603238c09cb60210f007c0000600000000000000000000000000000000006000018000000000000000000000000000000000080000280000c0000000000000000180000600000000000800302000c08000000000000181c006050000120000280000e000000000000000000008800e6380208000a500000b00009c00038000180000600000c000030000",survival,0,5,5,54,22,99
"(4, 5):(0, 0)|(4, 5):4:0xe182","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(4, 5):(0, 0)|(4, 5):4:0xe184","(4, 4):(0, 0)|(4, 4):1:0x4a96",stable,0,5,5,4,4,3
"(4, 5):(0, 0)|(4, 5):4:0xe188","(24, 50):(0, 0)|(24, 50):5:0x6000000000002400000000000903000000000180c0000000000000030000004000c0a000001f003020000e0400000000024db00000000111200c00000026301b0300000201c620c00003007230000001c0006ce0000078001800000000000000000000000000000000a000000000006c00000000181a800000000607b00000000001f00000000000260000000000070000000000008",survival,0,5,5,24,50,99
"(4, 5):(0, 0)|(4, 5):4:0xe203","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(4, 5):(0, 0)|(4, 5):4:0xe205","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(4, 5):(0, 0)|(4, 5):4:0xe206","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(4, 5):(0, 0)|(4, 5):4:0xe209","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(4, 5):(0, 0)|(4, 5):4:0xe20a","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(4, 5):(0, 0)|(4, 5):4:0xe20c","(3, 3):(0, 0)|(3, 3):0:0x1aa",stable,0,5,5,3,3,2
"(4, 5):(0, 0)|(4, 5):4:0xe211","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(4, 5):(0, 0)|(4, 5):4:0xe212","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(4, 5):(0, 0)|(4, 5):4:0xe214","(3, 3):(0, 0)|(3, 3):1:0xf1",spaceship,4,5,5,3,3,5
"(4, 5):(0, 0)|(4, 5):4:0xe218","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(4, 5):(0, 0)|(4, 5):4:0xe222","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(4, 5):(0, 0)|(4, 5):4:0xe224","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(4, 5):(0, 0)|(4, 5):4:0xe228","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(4, 5):(0, 0)|(4, 5):4:0xe242","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe244","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(4, 5):(0, 0)|(4, 5):4:0xe248","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(4, 5):(0, 0)|(4, 5):4:0xe282","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(4, 5):(0, 0)|(4, 5):4:0xe284","(3, 3):(0, 0)|(3, 3):0:0x1aa",stable,0,5,5,3,3,2
"(4, 5):(0, 0)|(4, 5):4:0xe288","(3, 3):(0, 0)|(3, 3):0:0x1aa",stable,0,5,5,3,3,2
"(4, 5):(0, 0)|(4, 5):4:0xe302","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe304","(3, 3):(0, 0)|(3, 3):0:0x1aa",stable,0,5,5,3,3,2
"(4, 5):(0, 0)|(4, 5):4:0xe308","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(4, 5):(0, 0)|(4, 5):4:0xe403","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):4:0xe405","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):4:0xe406","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,3
"(4, 5):(0, 0)|(4, 5):4:0xe409","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):4:0xe40a","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,3
"(4, 5):(0, 0)|(4, 5):4:0xe40c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):4:0xe411","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):4:0xe412","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):4:0xe414","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):4:0xe418","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,1
"(4, 5):(0, 0)|(4, 5):4:0xe422","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe424","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(4, 5):(0, 0)|(4, 5):4:0xe428","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,4
"(4, 5):(0, 0)|(4, 5):4:0xe442","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe444","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(4, 5):(0, 0)|(4, 5):4:0xe448","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(4, 5):(0, 0)|(4, 5):4:0xe482","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe484","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(4, 5):(0, 0)|(4, 5):4:0xe488","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(4, 5):(0, 0)|(4, 5):4:0xe502","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe504","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe508","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,4
"(4, 5):(0, 0)|(4, 5):4:0xe602","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(4, 5):(0, 0)|(4, 5):4:0xe604","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(4, 5):(0, 0)|(4, 5):4:0xe608","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,3
"(4, 5):(0, 0)|(4, 5):4:0xe803","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,3
"(4, 5):(0, 0)|(4, 5):4:0xe805","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,3
"(4, 5):(0, 0)|(4, 5):4:0xe806","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):4:0xe809","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,3
"(4, 5):(0, 0)|(4, 5):4:0xe80a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):4:0xe80c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):4:0xe811","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):4:0xe812","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,3
"(4, 5):(0, 0)|(4, 5):4:0xe814","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):4:0xe818","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):4:0xe822","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe824","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(4, 5):(0, 0)|(4, 5):4:0xe828","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(4, 5):(0, 0)|(4, 5):4:0xe842","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe844","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,5,5,4,4,6
"(4, 5):(0, 0)|(4, 5):4:0xe848","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(4, 5):(0, 0)|(4, 5):4:0xe882","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(4, 5):(0, 0)|(4, 5):4:0xe884","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe888","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,5,5,4,4,6
"(4, 5):(0, 0)|(4, 5):4:0xe902","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe904","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xe908","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(4, 5):(0, 0)|(4, 5):4:0xea02","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xea04","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(4, 5):(0, 0)|(4, 5):4:0xea08","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(4, 5):(0, 0)|(4, 5):4:0xec02","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(4, 5):(0, 0)|(4, 5):4:0xec04","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,14
"(4, 5):(0, 0)|(4, 5):4:0xec08","(29, 17):(0, 0)|(29, 17):11:0x20001000080000000000001020046e0608000456012a010202880a02042a020700460000000700000018000c000000000000000000000200010000800",survival,0,5,5,29,17,99
"(4, 5):(0, 0)|(4, 5):4:0xf003","(4, 4):(0, 0)|(4, 4):1:0x4a96",stable,0,5,5,4,4,5
"(4, 5):(0, 0)|(4, 5):4:0xf005","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(4, 5):(0, 0)|(4, 5):4:0xf006","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(4, 5):(0, 0)|(4, 5):4:0xf009","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,13
"(4, 5):(0, 0)|(4, 5):4:0xf00a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(4, 5):(0, 0)|(4, 5):4:0xf00c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(4, 5):(0, 0)|(4, 5):4:0xf011","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(4, 5):(0, 0)|(4, 5):4:0xf012","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,13
"(4, 5):(0, 0)|(4, 5):4:0xf014","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,13
"(4, 5):(0, 0)|(4, 5):4:0xf018","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(4, 5):(0, 0)|(4, 5):4:0xf022","(50, 24):(0, 0)|(50, 24):8:0x800000c00000200007a00062c000921800929800629800000000000000000800003600003600000000306c00306c000010000000000604000604000004000000000030000030000000000000000e0000080000040000000000000000000000000000000000000000000030000030000000000000000000000000000000000000008c78035cfc021c1a0224fb01c04e004034000010",survival,0,5,5,50,24,99
"(4, 5):(0, 0)|(4, 5):4:0xf024","(3, 3):(0, 0)|(3, 3):1:0xab",stable,0,5,5,3,3,3
"(4, 5):(0, 0)|(4, 5):4:0xf028","(3, 3):(0, 0)|(3, 3):2:0x73",spaceship,4,5,5,3,3,6
"(4, 5):(0, 0)|(4, 5):4:0xf042","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(4, 5):(0, 0)|(4, 5):4:0xf044","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(4, 5):(0, 0)|(4, 5):4:0xf048","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,5,5,4,4,6
"(4, 5):(0, 0)|(4, 5):4:0xf082","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xf084","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):4:0xf088","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,6
"(4, 5):(0, 0)|(4, 5):4:0xf102","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,5,5,4,4,5
"(4, 5):(0, 0)|(4, 5):4:0xf104","(54, 23):(0, 0)|(54, 23):18:0x800008800003001c49c0621c8194810104cc019060002000000000000000000000000000000000003000006000000000000000000000000000000000000200001800001800000000000000000600000c000000000000000c1c0018000000000001000605000c1b00001200003600002800002000000000000004620018e60068440022c0000640001080000e00000000000000000000030000",survival,0,5,5,54,23,99
"(4, 5):(0, 0)|(4, 5):4:0xf108","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(4, 5):(0, 0)|(4, 5):4:0xf202","(3, 3):(0, 0)|(3, 3):1:0xb5",spaceship,4,5,5,3,3,5
"(4, 5):(0, 0)|(4, 5):4:0xf204","(3, 3):(0, 0)|(3, 3):1:0xb5",spaceship,4,5,5,3,3,5
"(4, 5):(0, 0)|(4, 5):4:0xf208","(3, 3):(0, 0)|(3, 3):1:0xb5",spaceship,4,5,5,3,3,5
"(4, 5):(0, 0)|(4, 5):4:0xf402","(22, 35):(0, 0)|(22, 35):12:0x2448000008888000020a0800004361000008002000008008001000a0010400948010880aa0220d015405801051410001100440100301801404603101800000002f00000078e000000e08000000800000000000000000000c00600001870c00",survival,0,5,5,22,35,99
"(4, 5):(0, 0)|(4, 5):4:0xf404","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,7
"(4, 5):(0, 0)|(4, 5):4:0xf408","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,7
"(4, 5):(0, 0)|(4, 5):4:0xf802","(22, 35):(0, 0)|(22, 35):10:0xc38600001800c00000000000000000000400000041c000001c78000003d00000000602301880a00603002008802200020a28200680aa02c1101540442004a4008200140020004004000010004000021b080000414100000444400000489000",survival,0,5,5,22,35,99
"(4, 5):(0, 0)|(4, 5):4:0xf804","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(4, 5):(0, 0)|(4, 5):4:0xf808","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,3
"(4, 5):(0, 0)|(4, 5):3:0x1001f","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,8
"(4, 5):(0, 0)|(4, 5):3:0x10037","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,4
"(4, 5):(0, 0)|(4, 5):3:0x1003b","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(4, 5):(0, 0)|(4, 5):3:0x1003d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(4, 5):(0, 0)|(4, 5):3:0x1003e","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,6
"(4, 5):(0, 0)|(4, 5):3:0x10057","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(4, 5):(0, 0)|(4, 5):3:0x1005b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(4, 5):(0, 0)|(4, 5):3:0x1005d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(4, 5):(0, 0)|(4, 5):3:0x10073","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,3
"(4, 5):(0, 0)|(4, 5):3:0x10075","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):3:0x10076","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,6
"(4, 5):(0, 0)|(4, 5):3:0x10079","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,3
"(4, 5):(0, 0)|(4, 5):3:0x1007a","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,6
"(4, 5):(0, 0)|(4, 5):3:0x1007c","(10, 23):(0, 0)|(10, 23):21:0x18000030000000000018000330000600000000000300000600000",stable,0,5,5,10,23,68
"(4, 5):(0, 0)|(4, 5):3:0x10097","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):3:0x1009b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(4, 5):(0, 0)|(4, 5):3:0x1009d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):3:0x100b3","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(4, 5):(0, 0)|(4, 5):3:0x100b5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(4, 5):(0, 0)|(4, 5):3:0x100b6","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):3:0x100b9","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(4, 5):(0, 0)|(4, 5):3:0x100ba","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(4, 5):(0, 0)|(4, 5):3:0x100bc","(23, 10):(0, 0)|(23, 10):8:0x30cc30000000000000000000000000000000000000000000030cc300",stable,0,5,5,23,10,68
"(4, 5):(0, 0)|(4, 5):3:0x100d3","(4, 4):(0, 0)|(4, 4):1:0x4a96",stable,0,5,5,4,4,6
"(4, 5):(0, 0)|(4, 5):3:0x100d5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(4, 5):(0, 0)|(4, 5):3:0x100d9","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,6
"(4, 5):(0, 0)|(4, 5):3:0x100f1","(22, 54):(0, 0)|(22, 54):49:0x400000000000038000000000001a0000000000c0400000000003019c000000000007300000000000048000000000003e00000000000020010e1c000000000426000000380018c8180001b00600e0600006a01800000000088050000000002402b80000800070c9400604000003f000181c00000300000000000000501800000000004060000000000700000000000",survival,0,5,5,22,54,99
"(4, 5):(0, 0)|(4, 5):3:0x100f2","(22, 35):(0, 0)|(22, 35):12:0x2448000008888000020a0800004361000008002000008008001000a0010400948010880aa0220d015405801051410001100440100301801404603101800000002f00000078e000000e08000000800000000000000000000c00600001870c00",survival,0,5,5,22,35,99
"(4, 5):(0, 0)|(4, 5):3:0x100f4","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(4, 5):(0, 0)|(4, 5):3:0x100f8","(3, 3):(0, 0)|(3, 3):0:0x15a",spaceship,4,5,5,3,3,7
"(4, 5):(0, 0)|(4, 5):3:0x10117","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(4, 5):(0, 0)|(4, 5):3:0x1011b","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(4, 5):(0, 0)|(4, 5):3:0x1011d","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(4, 5):(0, 0)|(4, 5):3:0x10133","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(4, 5):(0, 0)|(4, 5):3:0x10135","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(4, 5):(0, 0)|(4, 5):3:0x10136","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(4, 5):(0, 0)|(4, 5):3:0x10139","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(4, 5):(0, 0)|(4, 5):3:0x1013a","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,3
"(4, 5):(0, 0)|(4, 5):3:0x1013c","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(4, 5):(0, 0)|(4, 5):3:0x10153","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(4, 5):(0, 0)|(4, 5):3:0x10155","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(4, 5):(0, 0)|(4, 5):3:0x10159","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(4, 5):(0, 0)|(4, 5):3:0x10171","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(4, 5):(0, 0)|(4, 5):3:0x10172","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,8
"(4, 5):(0, 0)|(4, 5):3:0x10174","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,5
"(4, 5):(0, 0)|(4, 5):3:0x10178","(23, 54):(0, 0)|(23, 54):48:0x3800000000000120000000000004800000000030258000000000c0950000000000016000000000000400000000000008800040800000080003c20000010003118800001b00063106000000018078180000280900400000022027000000000980a6000000001c20d8018140002084000606000000000000080000000806000000000058180000000000c000000000000200000000000",survival,0,5,5,23,54,99
"(4, 5):(0, 0)|(4, 5):3:0x10193","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(4, 5):(0, 0)|(4, 5):3:0x10195","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,5,5,4,4,5
"(4, 5):(0, 0)|(4, 5):3:0x10199","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(4, 5):(0, 0)|(4, 5):3:0x101b1","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,7
"(4, 5):(0, 0)|(4, 5):3:0x101b2","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,6
"(4, 5):(0, 0)|(4, 5):3:0x101b4","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,11
"(4, 5):(0, 0)|(4, 5):3:0x101b8","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(4, 5):(0, 0)|(4, 5):3:0x101d1","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(4, 5):(0, 0)|(4, 5):3:0x1020f","(4, 4):(0, 0)|(4, 4):1:0x6952",stable,0,5,5,4,4,6
"(4, 5):(0, 0)|(4, 5):3:0x10217","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,4
"(4, 5):(0, 0)|(4, 5):3:0x1021b","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
"(4, 5):(0, 0)|(4, 5):3:0x1021d","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,4
"(4, 5):(0, 0)|(4, 5):3:0x10227","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,4
"(4, 5):(0, 0)|(4, 5):3:0x1022b","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,2
