start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(5, 5):(0, 0)|(5, 5):1:0xbfdadf","(25, 20):(0, 0)|(25, 20):10:0x200009000090000400000000000000600006000000000008000340001e00083000e400a0808e001100000000200000c000b7d4083f60424402458000700",survival,0,5,5,25,20,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdaef","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,5,5,4,4,10
"(5, 5):(0, 0)|(5, 5):1:0xbfdaf7","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):1:0xbfdafb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(5, 5):(0, 0)|(5, 5):1:0xbfdafd","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,9
"(5, 5):(0, 0)|(5, 5):1:0xbfdafe","(52, 18):(0, 0)|(52, 18):12:0xb000220000403310181c03000040000000003000020003000000000000030000c00000000000000000000000a000300004000000000000000000c000300000000000183806000000000000c0003018000d00064001a00050003f801da066001848002000ef003800086000000070001c0002000",survival,0,5,5,52,18,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdb3f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,13
"(5, 5):(0, 0)|(5, 5):1:0xbfdb5f","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,7
"(5, 5):(0, 0)|(5, 5):1:0xbfdb6f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(5, 5):(0, 0)|(5, 5):1:0xbfdb77","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(5, 5):(0, 0)|(5, 5):1:0xbfdb7b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(5, 5):(0, 0)|(5, 5):1:0xbfdb7d","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,15
"(5, 5):(0, 0)|(5, 5):1:0xbfdb9f","(23, 31):(0, 0)|(23, 31):18:0x60000000c000000000000000004000000140000004800000060000000031800001a0800004000000090000001141000007040000020400000000c00000000000000000000002000000040000000d80000006e0000008c0",survival,0,5,5,23,31,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdbaf","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,6
"(5, 5):(0, 0)|(5, 5):1:0xbfdbb7","(18, 28):(0, 0)|(18, 28):14:0x200000020000802000340000082000009a000008c0000038000003800000000000000000000000000000000000000000000000000000000018c300018c3",survival,0,5,5,18,28,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdbbb","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,6
"(5, 5):(0, 0)|(5, 5):1:0xbfdbbd","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,6
"(5, 5):(0, 0)|(5, 5):1:0xbfdbcf","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,15
"(5, 5):(0, 0)|(5, 5):1:0xbfdbd7","(4, 4):(0, 0)|(4, 4):1:0x4a96",stable,0,5,5,4,4,8
"(5, 5):(0, 0)|(5, 5):1:0xbfdbdb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(5, 5):(0, 0)|(5, 5):1:0xbfdbdd","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,6
"(5, 5):(0, 0)|(5, 5):1:0xbfdbed","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(5, 5):(0, 0)|(5, 5):1:0xbfdbee","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,6
"(5, 5):(0, 0)|(5, 5):1:0xbfdbf3","(4, 4):(0, 0)|(4, 4):1:0x4a96",stable,0,5,5,4,4,8
"(5, 5):(0, 0)|(5, 5):1:0xbfdbf5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):1:0xbfdbf6","(4, 4):(0, 0)|(4, 4):1:0x4a96",stable,0,5,5,4,4,8
"(5, 5):(0, 0)|(5, 5):1:0xbfdbf9","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(5, 5):(0, 0)|(5, 5):1:0xbfdc7f","(10, 4):(0, 0)|(10, 4):1:0x6ac0000033",stable,0,5,5,10,4,17
