start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(4, 4):(0, 0)|(4, 4):1:0x76d9","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,10
"(4, 4):(0, 0)|(4, 4):1:0x76db","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,4,4,1,3,7
"(4, 4):(0, 0)|(4, 4):1:0x76dd","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,4,4,3,1,4
"(4, 4):(0, 0)|(4, 4):1:0x76de","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,4,4,13,13,21
"(4, 4):(0, 0)|(4, 4):1:0x76df","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,17
"(4, 4):(0, 0)|(4, 4):1:0x76e9","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,10
"(4, 4):(0, 0)|(4, 4):1:0x76eb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,3
"(4, 4):(0, 0)|(4, 4):1:0x76ed","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,4,4,3,1,4
"(4, 4):(0, 0)|(4, 4):1:0x76ee","(13, 13):(0, 0)|(13, 13):6:0x400500280080000603482580c0000200280140040",stable,0,4,4,13,13,21
"(4, 4):(0, 0)|(4, 4):1:0x76ef","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,4
"(4, 4):(0, 0)|(4, 4):1:0x76f9","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,4,4,3,1,4
"(4, 4):(0, 0)|(4, 4):1:0x76fb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,3
"(4, 4):(0, 0)|(4, 4):1:0x76fd","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,4,4,3,1,4
"(4, 4):(0, 0)|(4, 4):1:0x76fe","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,4,4,1,3,5
"(4, 4):(0, 0)|(4, 4):1:0x76ff","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,4
"(4, 4):(0, 0)|(4, 4):1:0x7709","(22, 35):(0, 0)|(22, 35):10:0xc38600001800c00000000000000000000400000041c000001c78000003d00000000602301880a00603002008802200020a28200680aa02c1101540442004a4008200140020004004000010004000021b080000414100000444400000489000",survival,0,4,4,22,35,99
"(4, 4):(0, 0)|(4, 4):1:0x770b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,4
"(4, 4):(0, 0)|(4, 4):1:0x770d","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,4,4,1,3,10
"(4, 4):(0, 0)|(4, 4):1:0x770f","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,4,4,7,7,21
"(4, 4):(0, 0)|(4, 4):1:0x7719","(9, 19):(0, 0)|(9, 19):18:0x1e000200004000000000000000000000060000c",survival,0,4,4,9,19,99
"(4, 4):(0, 0)|(4, 4):1:0x771b","(41, 26):(0, 0)|(41, 26):20:0x2000000c800020900013040004190001208003260000c0800000000000000000000000003000000c0000030700000000000104000041007010481c000200807089c0001270000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002800000c000001000000",survival,0,4,4,41,26,99
"(4, 4):(0, 0)|(4, 4):1:0x771d","(18, 15):(0, 0)|(18, 15):8:0x300060000000000002080af8158818600780040001100550129000003580000038",survival,0,4,4,18,15,99
"(4, 4):(0, 0)|(4, 4):1:0x771e","(30, 33):(0, 0)|(30, 33):21:0x10000000340000000080000000400000008000000000000000000000243000002a9800001110000003040180048200c00180000000001c000000000000001080000009200000040000c000060660046003100500000e044004000220050283b002808000008004000000c700000066c0000001c000000040000",survival,0,4,4,30,33,99
"(4, 4):(0, 0)|(4, 4):1:0x771f","(13, 14):(0, 0)|(13, 14):1:0x1000a0028004700000000000000000000000000006c01b",oscillator,2,4,4,13,14,53
"(4, 4):(0, 0)|(4, 4):1:0x7729","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,3
"(4, 4):(0, 0)|(4, 4):1:0x772b","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,4,4,1,3,5
"(4, 4):(0, 0)|(4, 4):1:0x772d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,3
"(4, 4):(0, 0)|(4, 4):1:0x772f","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,8
"(4, 4):(0, 0)|(4, 4):1:0x7739","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,4,4,7,7,29
"(4, 4):(0, 0)|(4, 4):1:0x773b","(8, 6):(0, 0)|(8, 6):1:0x624600085142",survival,0,4,4,8,6,99
"(4, 4):(0, 0)|(4, 4):1:0x773d","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,7
"(4, 4):(0, 0)|(4, 4):1:0x773e","(29, 23):(0, 0)|(29, 23):10:0x100000700001900003700007c000020000000900000000000006080005181c0a08280c609300814a0003b00000600000c00000c00000a0000040000000c00001800000000000000000000000000000600000c",survival,0,4,4,29,23,99
"(4, 4):(0, 0)|(4, 4):1:0x773f","(29, 25):(0, 0)|(29, 25):22:0x60000018000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000002800002800000800000",survival,0,4,4,29,25,99
"(4, 4):(0, 0)|(4, 4):1:0x7749","(9, 19):(0, 0)|(9, 19):0:0x400008000f000000000000000000000000c00018000",survival,0,4,4,9,19,99
