start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(5, 5):(0, 0)|(5, 5):4:0x157fff","(23, 10):(0, 0)|(23, 10):8:0x30cc30000000000000000000000000000000000000000000030cc300",stable,0,5,5,23,10,74
"(5, 5):(0, 0)|(5, 5):4:0x15bfff","(17, 32):(0, 0)|(17, 32):18:0x200000005000007030000088000000c4000000020000000a00020044000500a0020900900506207005005014020090130000600a800000018000000c0000000c0000",survival,0,5,5,17,32,99
"(5, 5):(0, 0)|(5, 5):4:0x15dfff","(7, 5):(0, 0)|(7, 5):3:0x8a510318",stable,0,5,5,7,5,91
"(5, 5):(0, 0)|(5, 5):4:0x15efff","(26, 19):(0, 0)|(26, 19):17:0x1000030000a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000060000",survival,0,5,5,26,19,99
"(5, 5):(0, 0)|(5, 5):4:0x15f7ff","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,15
"(5, 5):(0, 0)|(5, 5):4:0x15fbff","(14, 27):(0, 0)|(14, 27):15:0x401800180300070000718000096020011a36001a0e60a100982b000e050c000041c000002800003100000460000",survival,0,5,5,14,27,99
"(5, 5):(0, 0)|(5, 5):4:0x15fdff","(17, 32):(0, 0)|(17, 32):18:0x200000005000007030000088000000c4000000020000000a00020044000500a0020900900506207005005014020090130000600a800000018000000c0000000c0000",survival,0,5,5,17,32,99
"(5, 5):(0, 0)|(5, 5):4:0x15feff","(37, 39):(0, 0)|(37, 39):6:0x10000000005000000001b000000002400000000900000000090000000012000000001800000000740000000130000000026000000002000000000400001000050000500012000060002400000004300c00000620180000044000000000400000000080000000008000000006000000006c00000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000028000000003",survival,0,5,5,37,39,99
"(5, 5):(0, 0)|(5, 5):4:0x15ff7f","(26, 19):(0, 0)|(26, 19):17:0x1000030000a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000060000",survival,0,5,5,26,19,99
"(5, 5):(0, 0)|(5, 5):4:0x15ffbf","(26, 19):(0, 0)|(26, 19):17:0x1000030000a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000060000",survival,0,5,5,26,19,99
"(5, 5):(0, 0)|(5, 5):4:0x15ffdf","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,9
"(5, 5):(0, 0)|(5, 5):4:0x15ffef","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,18
"(5, 5):(0, 0)|(5, 5):4:0x15fff7","(26, 17):(0, 0)|(26, 17):7:0x6000000700018000c000000000000000000000000000040002000100030001800000000000000018000c0000000000000000000060003",survival,0,5,5,26,17,99
"(5, 5):(0, 0)|(5, 5):4:0x15fffb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):4:0x15fffd","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):4:0x15fffe","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,5
"(5, 5):(0, 0)|(5, 5):4:0x167fff","(37, 13):(0, 0)|(37, 13):3:0x3801ba0eac0c62232913651010c00000000000000000000000000000038004004000000000300180000000000006002800e004802203101180700380",survival,0,5,5,37,13,99
"(5, 5):(0, 0)|(5, 5):4:0x16bfff","(27, 26):(0, 0)|(27, 26):10:0xc00000300000c00003f00001fc000010000000120001cc820339314034dc900e071800018038000011000006c0000000000000000010002004002401000080000100000028000400a00107c4000400a00140d00004c00",survival,0,5,5,27,26,99
"(5, 5):(0, 0)|(5, 5):4:0x16dfff","(18, 23):(0, 0)|(18, 23):16:0x38000000000000000000000000000000000000000002000004000008004000018b8e04280007408005210006c20005000004",survival,0,5,5,18,23,99
"(5, 5):(0, 0)|(5, 5):4:0x16efff","(29, 18):(0, 0)|(29, 18):11:0x700000000000000000000000000000000000000004000280012000300000c020301c00090007e000880011000280004000000001800060000018000900018000",survival,0,5,5,29,18,99
"(5, 5):(0, 0)|(5, 5):4:0x16f7ff","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,11
"(5, 5):(0, 0)|(5, 5):4:0x16fbff","(50, 24):(0, 0)|(50, 24):3:0x1c00006c0200810780832f40c040600145c02129800c00000000000000000000000000000000000c00000c0000000000000000000000000000000000000000000000000050000030000020000000000c00000c00000000000000007060000060000000001c0000220c00360c004200006c00004400003800000000000000001806002469001f69000f06000560000440000300000300",survival,0,5,5,50,24,99
"(5, 5):(0, 0)|(5, 5):4:0x16fdff","(27, 26):(0, 0)|(27, 26):10:0xc00000300000c00003f00001fc000010000000120001cc820339314034dc900e071800018038000011000006c0000000000000000010002004002401000080000100000028000400a00107c4000400a00140d00004c00",survival,0,5,5,27,26,99
"(5, 5):(0, 0)|(5, 5):4:0x16feff","(2, 9):(0, 0)|(2, 9):0:0x30783",stable,0,5,5,2,9,25
"(5, 5):(0, 0)|(5, 5):4:0x16ff7f","(22, 27):(0, 0)|(22, 27):3:0x40000014000006c0000048000006000300003076000606e07001d80a001801c00000000000000000000000000000000000001c0000000000000000000000c00000180001800000300000",survival,0,5,5,22,27,99
"(5, 5):(0, 0)|(5, 5):4:0x16ffbf","(8, 6):(0, 0)|(8, 6):3:0x189142428a10",stable,0,5,5,8,6,30
"(5, 5):(0, 0)|(5, 5):4:0x16ffdf","(16, 12):(0, 0)|(16, 12):0:0x80881c83202401800000001c022002044030000002005006",survival,0,5,5,16,12,99
"(5, 5):(0, 0)|(5, 5):4:0x16ffef","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,76
"(5, 5):(0, 0)|(5, 5):4:0x16fff7","(35, 22):(0, 0)|(35, 22):12:0x300000b000c120028480000a00180000200000c00000000200001c0006f0101800a0001c80007800a040038e00000001f8e000a040000780001c80000a00f01019c00062000000000000c00002000018000000a00284800c120000b0000300",survival,0,5,5,35,22,99
"(5, 5):(0, 0)|(5, 5):4:0x16fffb","(36, 33):(0, 0)|(36, 33):0:0xe00000004000000010000060000000240000002100000036c000000c1000000080000000020000004000000021000000120180000700c0000000000000000000000000000004000000044000000aa000000c30000c01600006000000000018000000140000000c0000000b000000018000000e60000002a0000001e00000002000000000000000000000002800000018000000040",survival,0,5,5,36,33,99
"(5, 5):(0, 0)|(5, 5):4:0x16fffd","(36, 33):(0, 0)|(36, 33):0:0xe00000004000000010000060000000240000002100000036c000000c1000000080000000020000004000000021000000120180000700c0000000000000000000000000000004000000044000000aa000000c30000c01600006000000000018000000140000000c0000000b000000018000000e60000002a0000001e00000002000000000000000000000002800000018000000040",survival,0,5,5,36,33,99
"(5, 5):(0, 0)|(5, 5):4:0x16fffe","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,7
"(5, 5):(0, 0)|(5, 5):4:0x173fff","(50, 24):(0, 0)|(50, 24):18:0x3800403601e08102f4c106020303a2800194840000300000000000000000000000000000000000300000300000000000000000000000000000000000000000000a00000c0000040000000000003000003000000000000000060e00060000000000003800304400306c00004200003600002200001c0000000000000060180096240096f80060f00006a00002200000c00000c000",survival,0,5,5,50,24,99
"(5, 5):(0, 0)|(5, 5):4:0x175fff","(19, 22):(0, 0)|(19, 22):13:0x100000c60302041200083020000342000d090021980636003200007c1000e0400002040000280000c0400002300008c0000c00",survival,0,5,5,19,22,99
"(5, 5):(0, 0)|(5, 5):4:0x176fff","(26, 25):(0, 0)|(26, 25):23:0x600000300000000001800001200061c000480000300001180007800007211806100e01a8a38041d880006c0000000000000000003800001200000800001980000bc00009800002200000e00000200",survival,0,5,5,26,25,99
"(5, 5):(0, 0)|(5, 5):4:0x1777ff","(25, 14):(0, 0)|(25, 14):9:0x1000e006c03b806c00e00103001600c8031000200c400108385c01700200000000000000000000000c0030",survival,0,5,5,25,14,99
"(5, 5):(0, 0)|(5, 5):4:0x177bff","(50, 24):(0, 0)|(50, 24):3:0x1c00006c0200810780832f40c040600145c02129800c00000000000000000000000000000000000c00000c0000000000000000000000000000000000000000000000000050000030000020000000000c00000c00000000000000007060000060000000001c0000220c00360c004200006c00004400003800000000000000001806002469001f69000f06000560000440000300000300",survival,0,5,5,50,24,99
"(5, 5):(0, 0)|(5, 5):4:0x177dff","(50, 24):(0, 0)|(50, 24):18:0x3800403601e08102f4c106020303a2800194840000300000000000000000000000000000000000300000300000000000000000000000000000000000000000000a00000c0000040000000000003000003000000000000000060e00060000000000003800304400306c00004200003600002200001c0000000000000060180096240096f80060f00006a00002200000c00000c000",survival,0,5,5,50,24,99
"(5, 5):(0, 0)|(5, 5):4:0x177eff","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,37
