start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(3, 3):(0, 0)|(3, 3):1:0xc6","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,2
"(3, 3):(0, 0)|(3, 3):1:0xc7","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,3
"(3, 3):(0, 0)|(3, 3):1:0xcd","(3, 3):(0, 0)|(3, 3):0:0x19c",spaceship,4,3,3,3,3,5
"(3, 3):(0, 0)|(3, 3):1:0xce","(3, 3):(0, 0)|(3, 3):1:0xea",stable,0,3,3,3,3,2
"(3, 3):(0, 0)|(3, 3):1:0xcf","(24, 50):(0, 0)|(24, 50):45:0x700000000000120000000000108000000000001000000001820c000000006083000000000002000000000006c0000000000000007040000030022b100000120148a400000000d28830000120f86a0c00002ccc0700000003b70000000006c0000000000190d800c04000381600306000040000000c000000603000000000240c000000000900000000000180000000000",survival,0,3,3,24,50,99
"(3, 3):(0, 0)|(3, 3):1:0xd5","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,4
"(3, 3):(0, 0)|(3, 3):1:0xd6","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,3
"(3, 3):(0, 0)|(3, 3):1:0xd7","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,9
"(3, 3):(0, 0)|(3, 3):1:0xdd","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,4
"(3, 3):(0, 0)|(3, 3):1:0xde","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,4
"(3, 3):(0, 0)|(3, 3):1:0xdf","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,7
"(3, 3):(0, 0)|(3, 3):1:0xe5","(3, 3):(0, 0)|(3, 3):1:0xaa",stable,0,3,3,3,3,2
"(3, 3):(0, 0)|(3, 3):1:0xe7","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,6
"(3, 3):(0, 0)|(3, 3):1:0xed","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,6
"(3, 3):(0, 0)|(3, 3):1:0xef","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,3,3,4,4,2
"(3, 3):(0, 0)|(3, 3):1:0xf5","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,3,3,4,4,5
"(3, 3):(0, 0)|(3, 3):1:0xf7","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,7,7,10
"(3, 3):(0, 0)|(3, 3):1:0xfd","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,7,7,10
"(3, 3):(0, 0)|(3, 3):1:0xfe","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,2
"(3, 3):(0, 0)|(3, 3):1:0xff","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,3,3,4,4,5
